Validation_Set,Topics,Alpha,Beta,Coherence,,Topic,C_vscore
100% Corpus,10,symmetric,0.01,0.381635059,,,
100% Corpus,10,symmetric,0.31,0.426296163,,,
100% Corpus,10,symmetric,0.61,0.45269499,,,
100% Corpus,10,symmetric,0.91,0.463983055,,,
100% Corpus,10,symmetric,symmetric,0.410986449,,,
100% Corpus,10,asymmetric,0.01,0.375254605,,,
100% Corpus,10,asymmetric,0.31,0.470466745,,,
100% Corpus,10,asymmetric,0.61,,,,
100% Corpus,10,asymmetric,0.91,,,,
100% Corpus,10,asymmetric,symmetric,0.513109674,,,
